Designator,Mid X,Mid Y,Layer,Rotation
ADC,-20.07,11.13,Top,180.0
ADC-BATT,-20.88,-9.27,Top,0.0
BATTERY,-14.22,-12.22,Top,180.0
C3,-6.15, 3.35,Top,90.0
C4, 1.91, 1.85,Top,0.0
C5, 1.91, 3.89,Top,0.0
C6,-2.01,-7.95,Top,270.0
C7,-8.18, 2.79,Top,90.0
C8,-18.49, 9.32,Top,270.0
C9,-3.07, 7.04,Top,180.0
C10,-11.35, 4.29,Top,90.0
C11,-12.95, 3.53,Top,90.0
C12,-16.64,-0.89,Top,180.0
C13,-3.07, 9.07,Top,180.0
CHARGING,-25.07, 6.35,Top,270.0
D1,-19.66, 3.56,Top,270.0
D2,-8.74, 7.92,Top,90.0
D3,-3.68, 0.86,Top,90.0
F1,-2.18,-3.35,Top,90.0
F2,-1.98, 4.32,Top,270.0
IC1,22.00, 0.00,Top,270.0
IC2,22.00, 0.00,Top,270.0
IC3,-15.95, 3.10,Top,90.0
IC4, 1.98, 7.65,Top,90.0
J3,-13.46, 9.17,Top,0.0
J4,-21.00, 0.00,Top,270.0
LDO, 1.30,-2.79,Top,180.0
Q1,-6.30,-7.98,Top,180.0
Q2,-6.58,-3.02,Top,90.0
R1,-8.10,-7.98,Top,90.0
R2,-3.46,-7.95,Top,270.0
R3,-4.50,-7.95,Top,270.0
R4,-19.94,-7.21,Top,180.0
R5,-19.94,-6.12,Top,180.0
R6,-10.36, 0.56,Top,90.0
R7,-12.52,-0.36,Top,90.0
R8,-19.53, 9.32,Top,270.0
R9,-20.57, 9.32,Top,90.0
R10,-22.86, 6.35,Top,180.0
R11,-7.75,-0.43,Top,180.0
R12,-9.02,-4.52,Top,180.0
RESET, 2.08,-8.26,Top,180.0
U1,-10.36,-1.73,Top,90.0
