Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-14.22,-12.22,Top,180.0
C1,-1.73, 7.42,Top,90.0
C2,-3.76, 7.42,Top,90.0
C3,-6.22, 3.35,Top,90.0
C4, 1.91, 1.85,Top,0.0
C5, 1.91, 3.89,Top,0.0
C6,-2.41,-7.95,Top,90.0
C7,-8.26, 2.79,Top,90.0
C8,-18.49, 9.32,Top,270.0
C9,-17.53,-3.51,Top,180.0
C10,-11.28, 3.89,Top,90.0
C11,-12.95, 3.53,Top,90.0
C12,-16.64,-0.89,Top,180.0
CHARGING,-25.07, 6.35,Top,270.0
D1,-19.66, 3.56,Top,270.0
D2,-8.74, 7.92,Top,90.0
D3,-2.16, 0.86,Top,90.0
F1,-2.18,-3.35,Top,90.0
IC2,22.00, 0.00,Top,270.0
IC3,-15.95, 3.10,Top,90.0
J3,-13.46, 9.17,Top,0.0
J4,-21.00, 0.00,Top,270.0
LDO, 1.30,-2.79,Top,180.0
Q1,-6.30,-7.98,Top,180.0
Q2,-6.58,-3.02,Top,90.0
R1,-8.10,-7.98,Top,90.0
R2,-3.46,-7.95,Top,270.0
R3,-4.50,-7.95,Top,270.0
R4,-19.94,-7.21,Top,180.0
R5,-19.94,-6.12,Top,180.0
R6,-10.34, 0.56,Top,90.0
R7,-12.52,-0.36,Top,90.0
R8,-19.53, 9.32,Top,270.0
R9,-20.57, 9.32,Top,90.0
R10,-22.86, 6.35,Top,180.0
R11,-7.75,-0.43,Top,180.0
R12,-3.89,-4.47,Top,270.0
RESET, 2.08,-8.26,Top,180.0
U1,-10.36,-1.73,Top,90.0
