Designator,Mid X,Mid Y,Layer,Rotation
ADC,-20.07,11.13,Top,180.0
ADC-BATT,-20.88,-9.27,Top,0.0
BATTERY,-14.22,-12.22,Top,180.0
C1, 5.08,-3.35,Top,270.0
C2, 3.05,-3.35,Top,270.0
C3,-6.15, 3.18,Top,90.0
C4, 1.50, 1.14,Top,0.0
C5, 1.47, 3.89,Top,0.0
C6,-2.01,-7.95,Top,270.0
C7,-8.18, 2.67,Top,90.0
C8,-18.49, 9.32,Top,270.0
C9, 5.97,-8.05,Top,270.0
C10,-11.35, 4.29,Top,90.0
C11,-12.95, 3.53,Top,90.0
C12,-16.64,-0.89,Top,180.0
C14,-3.76, 8.13,Top,270.0
C15, 3.40, 9.17,Top,0.0
CHARGING,-25.07, 6.35,Top,270.0
D1,-19.58, 5.94,Top,270.0
D2,-9.27, 7.92,Top,90.0
D3,-4.22, 0.84,Top,90.0
F1,-3.61,-3.35,Top,90.0
F2,-1.98, 4.32,Top,270.0
I2C_PULLUPS, 4.88, 3.99,Top,90.0
IC2,22.00, 0.00,Top,270.0
IC3,-15.95, 3.10,Top,90.0
IC4,-6.38, 7.62,Top,180.0
IC5,-0.51, 8.23,Top,0.0
J3,-13.46, 9.17,Top,0.0
J4,-20.70, 0.00,Top,270.0
J5,10.26, 0.00,Top,90.0
LDO,-0.30,-2.82,Top,180.0
LED_IO4, 8.20,-8.05,Top,180.0
Q1,-6.30,-7.98,Top,180.0
Q2,-6.58,-3.02,Top,90.0
R1,-8.10,-7.98,Top,90.0
R2,-3.46,-7.95,Top,270.0
R3,-4.50,-7.95,Top,270.0
R4,-19.94,-7.21,Top,180.0
R5,-19.94,-6.12,Top,180.0
R6,-10.36, 0.56,Top,90.0
R7,-12.52,-0.36,Top,90.0
R8,-19.53, 9.32,Top,270.0
R9,-20.57, 9.32,Top,90.0
R10,-22.86, 6.35,Top,180.0
R11,-7.75,-0.43,Top,180.0
R12,-9.02,-4.52,Top,180.0
R13, 4.37, 1.63,Top,270.0
R14, 5.41, 1.63,Top,270.0
R15, 2.21, 6.15,Top,270.0
R19, 3.43, 6.12,Top,90.0
RESET, 2.08,-8.26,Top,180.0
U1,-10.36,-1.73,Top,90.0
